rxn,rxnName,GPR,lowMean,highMean,deltaFlux,absDeltaFlux,lowRange,highRange,rangeChange
PLIPA1E140pp,"Phospholipase A1 (phosphatidylethanolamine, n-C14:0) (periplasm)",,9.30160939319746e-06,0.0922521802032344,0.0922428785938412,0.0922428785938412,1.86032187863949e-05,0.184504360406469,0.184485757187682
2AGPE140tipp,"2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0) transporter via facilitated diffusion (periplasm)",ZMO1_ZMO0099,9.30160939319746e-06,0.0922521802032344,0.0922428785938412,0.0922428785938412,1.86032187863949e-05,0.184504360406469,0.184485757187682
PLIPA1E160pp,"Phospholipase A1 (phosphatidylethanolamine, n-C16:0) (periplasm)",,9.30775663432806e-06,0.0922521852283214,0.092242877471687,0.092242877471687,1.86155132686561e-05,0.184504370456643,0.184485754943374
2AGPE160tipp,"2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0) transporter via facilitated diffusion (periplasm)",ZMO1_ZMO0099,9.30775663432806e-06,0.0922521852283214,0.092242877471687,0.092242877471687,1.86155132686561e-05,0.184504370456643,0.184485754943374
PE140abcpp,"Phosphatidylethanolamine transport via ABC system (n-C14:0, periplasm)",ZMO1_ZMO1790,9.30863470050755e-06,0.0922521859473056,0.0922428773126051,0.0922428773126051,1.86172694010151e-05,0.184504371894611,0.18448575462521
2AGPE120tipp,"2-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0) transporter via facilitated diffusion (periplasm)",ZMO1_ZMO0099,9.30424476889722e-06,0.092252180204447,0.0922428759596781,0.0922428759596781,1.86084895377944e-05,0.184504360408894,0.184485751919356
PLIPA1E120pp,"Phospholipase A1 (phosphatidylethanolamine, n-C12:0) (periplasm)",,9.30424476889722e-06,0.092252180204447,0.0922428759596781,0.0922428759596781,1.86084895377944e-05,0.184504360408894,0.184485751919356
PLIPA1E181pp,"Phospholipase A1 (phosphatidylethanolamine, n-C18:1) (periplasm)",,9.30596473838932e-06,0.0922521802049945,0.0922428742402561,0.0922428742402561,1.86119294767786e-05,0.184504360409989,0.184485748480512
2AGPE181tipp,"2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1) transporter via facilitated diffusion (periplasm)",ZMO1_ZMO0099,9.30596473838932e-06,0.0922521802049945,0.0922428742402561,0.0922428742402561,1.86119294767786e-05,0.184504360409989,0.184485748480512
PE120abcpp,"Phosphatidylethanolamine transport via ABC system (n-C12:0, periplasm)",ZMO1_ZMO1790,9.30648000931221e-06,0.0922521802034909,0.0922428737234816,0.0922428737234816,1.86129600186244e-05,0.184504360406982,0.184485747446963
PLIPA1E180pp,"Phospholipase A1 (phosphatidylethanolamine, n-C18:0) (periplasm)",,9.98459280888029e-06,0.0922521802048134,0.0922421956120045,0.0922421956120045,1.99691856177606e-05,0.184504360409627,0.184484391224009
2AGPE180tipp,"2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0) transporter via facilitated diffusion (periplasm)",ZMO1_ZMO0099,9.98459280888029e-06,0.0922521802048134,0.0922421956120045,0.0922421956120045,1.99691856177606e-05,0.184504360409627,0.184484391224009
FACOAE180,"Fatty-acid-CoA thioesterase (octadecanoate)",,1.13970948279171e-05,0.0922529190446139,0.092241521949786,0.092241521949786,2.27941896558343e-05,0.184505838089228,0.184483043899572
